FID,CellKey,RID,numPixels,avg_Band1
484,3-26,bio1_37.bil,14048,55537.000000
485,19-3,bio1_37.bil,14159,55537.000000
486,29-6,bio1_37.bil,14074,55537.000000
487,1-28,bio1_37.bil,14092,1178.997303
488,11-23,bio1_37.bil,14048,55537.000000
489,17-8,bio1_37.bil,14032,55537.000000
490,19-19,bio1_37.bil,14052,54970.306718
491,22-15,bio1_37.bil,14177,55537.000000
492,28-9,bio1_37.bil,14167,55537.000000
493,13-25,bio1_37.bil,14048,55537.000000
494,14-29,bio1_37.bil,13835,55537.000000
496,7-1,bio1_37.bil,14072,206.645608
497,10-1,bio1_37.bil,14066,421.994810
499,5-12,bio1_37.bil,14180,217.482299
500,6-27,bio1_37.bil,14048,55537.000000
501,22-27,bio1_37.bil,14052,55537.000000
502,28-23,bio1_37.bil,14052,55537.000000
503,19-24,bio1_37.bil,14052,55537.000000
504,2-25,bio1_37.bil,14048,7333.852577
505,18-21,bio1_37.bil,14052,40671.117065
506,14-2,bio1_37.bil,14048,55537.000000
507,29-1,bio1_37.bil,13933,55537.000000
508,24-6,bio1_37.bil,14194,55537.000000
509,28-22,bio1_37.bil,14052,55537.000000
510,14-28,bio1_37.bil,14048,55537.000000
512,10-19,bio1_37.bil,14048,55537.000000
513,29-18,bio1_37.bil,13889,55537.000000
514,27-22,bio1_37.bil,14052,55537.000000
515,22-12,bio1_37.bil,14177,55537.000000
516,17-24,bio1_37.bil,14052,40148.519001
517,12-15,bio1_37.bil,14173,55537.000000
518,22-3,bio1_37.bil,14159,55537.000000
519,15-23,bio1_37.bil,14048,230.204300
520,24-5,bio1_37.bil,14194,55537.000000
521,17-20,bio1_37.bil,14052,180.742884
522,19-7,bio1_37.bil,14194,55537.000000
523,19-10,bio1_37.bil,14167,55537.000000
524,2-19,bio1_37.bil,14048,195.767440
525,17-27,bio1_37.bil,14052,55537.000000
526,13-7,bio1_37.bil,14190,55537.000000
527,19-12,bio1_37.bil,14177,27779.525429
528,6-25,bio1_37.bil,14048,55537.000000
529,29-15,bio1_37.bil,14022,55537.000000
530,15-18,bio1_37.bil,14048,236.336418
531,10-11,bio1_37.bil,14163,29821.717292
532,26-17,bio1_37.bil,14162,55537.000000
533,1-14,bio1_37.bil,14216,218.498734
534,14-22,bio1_37.bil,14048,233.027976
535,15-15,bio1_37.bil,14173,50709.280181
536,23-25,bio1_37.bil,14052,55537.000000
537,12-23,bio1_37.bil,14048,55537.000000
538,4-3,bio1_37.bil,14155,217.803886
539,11-11,bio1_37.bil,14163,55537.000000
540,9-2,bio1_37.bil,14048,259.819263
541,26-0,bio1_37.bil,14219,55537.000000
542,13-15,bio1_37.bil,14173,55537.000000
543,24-16,bio1_37.bil,14146,55537.000000
544,11-4,bio1_37.bil,14190,55537.000000
545,3-23,bio1_37.bil,14048,246.823747
546,15-14,bio1_37.bil,14173,55537.000000
547,13-27,bio1_37.bil,14048,55537.000000
548,8-18,bio1_37.bil,14048,55537.000000
549,28-14,bio1_37.bil,14177,55537.000000
550,7-11,bio1_37.bil,14171,252.819279
551,25-13,bio1_37.bil,14177,55537.000000
552,2-10,bio1_37.bil,14171,217.902689
553,8-1,bio1_37.bil,14072,246.557348
554,3-14,bio1_37.bil,14180,208.025882
555,12-27,bio1_37.bil,14048,55537.000000
557,13-12,bio1_37.bil,14173,54557.738517
558,20-10,bio1_37.bil,14167,55537.000000
559,14-1,bio1_37.bil,14066,55537.000000
560,10-6,bio1_37.bil,14190,55537.000000
561,12-5,bio1_37.bil,14190,55537.000000
562,23-19,bio1_37.bil,14052,55537.000000
563,3-11,bio1_37.bil,14171,205.311481
564,24-4,bio1_37.bil,14194,55537.000000
565,19-14,bio1_37.bil,14177,206.778162
566,15-27,bio1_37.bil,14048,55537.000000
567,16-11,bio1_37.bil,14163,55537.000000
568,7-22,bio1_37.bil,14048,55537.000000
569,15-13,bio1_37.bil,14173,55533.099626
570,2-23,bio1_37.bil,14048,240.388169
571,5-7,bio1_37.bil,14190,215.048485
572,6-5,bio1_37.bil,14190,206.463566
573,20-26,bio1_37.bil,14052,55537.000000
574,22-18,bio1_37.bil,14052,55537.000000
575,14-10,bio1_37.bil,14163,55537.000000
577,10-7,bio1_37.bil,14190,55537.000000
578,22-1,bio1_37.bil,14070,55537.000000
579,6-17,bio1_37.bil,14159,290.495656
580,0-20,bio1_37.bil,14232,203.289980
581,19-5,bio1_37.bil,14194,55537.000000
582,13-23,bio1_37.bil,14048,36473.711916
583,2-7,bio1_37.bil,14190,231.178295
584,11-25,bio1_37.bil,14048,55537.000000
585,8-9,bio1_37.bil,14171,246.921248
586,4-22,bio1_37.bil,14048,231.588198
587,3-21,bio1_37.bil,14048,235.599089
589,11-0,bio1_37.bil,14219,409.665729
590,4-14,bio1_37.bil,14180,210.465162
591,4-29,bio1_37.bil,13836,55537.000000
592,21-24,bio1_37.bil,14052,55537.000000
593,8-8,bio1_37.bil,14040,248.804630
595,21-1,bio1_37.bil,14070,55537.000000
596,1-11,bio1_37.bil,14207,198.292532
598,24-10,bio1_37.bil,14167,55537.000000
599,1-21,bio1_37.bil,14092,226.824014
600,11-17,bio1_37.bil,14158,55537.000000
601,19-29,bio1_37.bil,13843,55537.000000
602,20-27,bio1_37.bil,14052,55537.000000
603,4-12,bio1_37.bil,14180,238.115938
604,9-25,bio1_37.bil,14048,55537.000000
605,17-17,bio1_37.bil,14162,221.544556
606,9-1,bio1_37.bil,14066,268.678729
607,20-4,bio1_37.bil,14194,55537.000000
608,24-11,bio1_37.bil,14167,55537.000000
609,23-2,bio1_37.bil,14051,55537.000000
610,2-5,bio1_37.bil,14190,235.339183
611,21-11,bio1_37.bil,14167,55537.000000
612,6-8,bio1_37.bil,14040,244.513960
613,6-0,bio1_37.bil,14221,147.748892
614,9-27,bio1_37.bil,14048,55537.000000
615,7-9,bio1_37.bil,14171,237.575542
617,26-22,bio1_37.bil,14052,55537.000000
618,23-7,bio1_37.bil,14194,55537.000000
619,5-0,bio1_37.bil,14221,164.688489
620,12-16,bio1_37.bil,14142,55537.000000
621,17-12,bio1_37.bil,14177,55537.000000
622,18-9,bio1_37.bil,14167,55537.000000
623,27-16,bio1_37.bil,14146,55537.000000
624,4-7,bio1_37.bil,14190,217.086540
625,15-21,bio1_37.bil,14048,238.737685
626,27-8,bio1_37.bil,14032,55537.000000
627,6-18,bio1_37.bil,14048,25458.912301
